r, x, y, z
3.500000000000000000e-03 4.911761280169680589e-03 2.871698283156002077e-02 2.827903939635782477e-03
3.500000000000000000e-03 4.764224151258005663e-02 3.220343254885903866e-02 2.928571428571427951e-03
3.500000000000000000e-03 2.669108988619678640e-03 2.206213702338475843e-02 2.814976163077429015e-03
3.500000000000000000e-03 2.688238289507429921e-02 3.094620969007584252e-02 3.045436947875972047e-03
3.500000000000000000e-03 4.129660573853601024e-02 3.463776226627358207e-02 3.048810128419066501e-03
3.500000000000000000e-03 2.641180866463791257e-02 2.089716356609130909e-02 2.961018605219232092e-03
3.500000000000000000e-03 1.368150378893145079e-02 3.438210024514661012e-02 3.003067622033138862e-03
3.500000000000000000e-03 2.058245268957924895e-02 3.424654418702478137e-02 3.313654916512058599e-03
3.500000000000000000e-03 7.378128855519480722e-02 2.127636151051329541e-02 2.883232838589981639e-03
3.500000000000000000e-03 3.471805555555556103e-03 3.433446428571428066e-02 3.126082251082250990e-03
3.500000000000000000e-03 4.064229020656044689e-02 2.828023507028432429e-02 3.727272727272726641e-03
3.500000000000000000e-03 3.169518464817600717e-02 2.605180334363004641e-02 4.425430547713156242e-03
3.500000000000000000e-03 1.368998852529248328e-02 2.209216185613821840e-02 5.077979883617866202e-03
3.500000000000000000e-03 8.447646187733803824e-03 3.308270083722119476e-02 6.925940438871473238e-03
3.500000000000000000e-03 3.050043037532037399e-02 3.486346923589996732e-02 7.477310046275565010e-03
3.500000000000000000e-03 1.571082286866837263e-02 3.129682091838274088e-02 7.896119695389768392e-03
3.500000000000000000e-03 6.799602451103810286e-02 3.177464976721117162e-02 7.999863653406959901e-03
3.500000000000000000e-03 7.467828494037893894e-02 3.185292525932631458e-02 9.147129186602870679e-03
3.500000000000000000e-03 5.764710513582442519e-02 3.282711990004349989e-02 8.759740259740259050e-03
3.500000000000000000e-03 4.288685669198684380e-02 3.244703015733513274e-02 8.889537633235113090e-03
3.500000000000000000e-03 3.722500000000000114e-02 3.300000000000000155e-02 7.740259740259739993e-03
3.500000000000000000e-03 5.046923495783697117e-02 3.050822491166538253e-02 9.003229930691070831e-03
3.500000000000000000e-03 1.046689283414041147e-02 2.678859789504399805e-02 9.188456390406250091e-03
3.500000000000000000e-03 6.249110048632999792e-02 2.769641087052686010e-02 9.399350649350648665e-03
3.500000000000000000e-03 3.234719837527835762e-03 2.765295474714121737e-02 9.285795201683051669e-03
3.500000000000000000e-03 3.629981483373641987e-02 3.015795443716752164e-02 9.136001972710833252e-03
3.500000000000000000e-03 5.587255602402325244e-02 2.692905426517489681e-02 1.203264543675502604e-02
3.500000000000000000e-03 6.350522949953939233e-02 3.421020767767044002e-02 1.269473243842991587e-02
3.500000000000000000e-03 0.000000000000000000e+00 3.495000000000000190e-02 1.175974025974025998e-02
3.500000000000000000e-03 3.062064142108740158e-02 3.105367021778735956e-02 1.315909090909090674e-02
3.500000000000000000e-03 3.862609414993918577e-02 3.424487386078531315e-02 1.428268606393606407e-02
3.500000000000000000e-03 7.054560672514620379e-02 3.455570227652465104e-02 1.352605946684894145e-02
3.500000000000000000e-03 1.469883308310764199e-02 3.149198348572992273e-02 1.439290840738209100e-02
